"","uid","signup_dt","auth_type","device"
"106",21715466,"2016-06-06","C",1
"107",21716914,"2016-06-07","A",5
"108",21717025,"2016-06-07","A",1
"109",21719684,"2016-06-07","C",6
"110",21720124,"2016-06-07","C",1
"111",21721274,"2016-06-07","C",2
"112",21721275,"2016-06-07","A",6
"113",21721901,"2016-06-07","C",1
"114",21721999,"2016-06-07","C",1
"115",21723109,"2016-06-07","A",6
"116",21723230,"2016-06-07","A",6
"117",21723718,"2016-06-07","C",4
"118",21725344,"2016-06-07","C",1
"119",21727210,"2016-06-07","B",2
"120",21728025,"2016-06-07","C",5
"121",21733011,"2016-06-08","C",1
"122",21733448,"2016-06-08","C",1
"123",21733465,"2016-06-08","A",2
"124",21734189,"2016-06-08","C",6
"125",21734529,"2016-06-08","C",6
"126",21734687,"2016-06-08","B",1
"127",21735170,"2016-06-08","C",1
"128",21736359,"2016-06-08","C",1
"129",21737418,"2016-06-08","C",1
"130",21737971,"2016-06-08","C",5
"131",21739190,"2016-06-08","C",1
"132",21739210,"2016-06-08","C",1
"133",21739213,"2016-06-08","C",6
"134",21741084,"2016-06-08","C",1
"135",21741152,"2016-06-08","A",5
"136",21742259,"2016-06-08","C",4
"137",21742483,"2016-06-08","C",5
"138",21747092,"2016-06-09","C",1
"139",21747337,"2016-06-09","A",1
"140",21748886,"2016-06-09","C",6
"141",21748909,"2016-06-09","C",7
"142",21748963,"2016-06-09","C",2
"143",21749028,"2016-06-09","C",1
"144",21751893,"2016-06-09","C",1
"145",21752243,"2016-06-09","A",5
"146",21753927,"2016-06-09","C",5
"147",21754184,"2016-06-09","C",4
"148",21758398,"2016-06-10","B",7
"149",21760393,"2016-06-10","A",1
"150",21760999,"2016-06-10","C",6
"151",21762141,"2016-06-10","A",5
"152",21762848,"2016-06-10","C",1
"153",21763354,"2016-06-10","C",2
"154",21763663,"2016-06-10","A",1
"155",21764712,"2016-06-10","C",6
"156",21765727,"2016-06-10","A",5
"157",21766535,"2016-06-10","A",2
"158",21766843,"2016-06-10","C",6
"159",21768940,"2016-06-11","A",1
"160",21772449,"2016-06-11","C",1
"161",21772702,"2016-06-11","C",1
"162",21773292,"2016-06-11","C",3
"163",21774497,"2016-06-11","A",1
"164",21775962,"2016-06-11","C",2
"165",21776109,"2016-06-11","C",2
"166",21778319,"2016-06-11","A",1
"167",21778389,"2016-06-11","C",1
"168",21778717,"2016-06-11","A",6
"169",21779278,"2016-06-11","A",1
"170",21779694,"2016-06-11","B",7
"171",21780116,"2016-06-11","A",6
"172",21780693,"2016-06-12","A",6
"173",21783157,"2016-06-12","A",6
"174",21785735,"2016-06-12","C",2
"175",21786169,"2016-06-12","C",1
"176",21787204,"2016-06-12","C",6
"177",21787722,"2016-06-12","A",1
"178",21788546,"2016-06-12","C",1
"179",21788873,"2016-06-12","A",6
"180",21789147,"2016-06-12","C",5
"181",21789349,"2016-06-12","C",1
"182",21789445,"2016-06-12","C",7
"183",21791629,"2016-06-12","C",6
"184",21792539,"2016-06-12","A",5
"185",21792556,"2016-06-12","A",5
"186",21792729,"2016-06-12","C",1
"187",21792760,"2016-06-12","C",1
"188",21793299,"2016-06-12","A",1
"189",21793843,"2016-06-12","C",5
"190",21793931,"2016-06-12","A",5
"191",21793997,"2016-06-12","A",6
"192",21797149,"2016-06-13","C",1
"193",21797977,"2016-06-13","C",1
"194",21798886,"2016-06-13","C",7
"195",21799542,"2016-06-13","C",1
"196",21800316,"2016-06-13","C",1
"197",21800854,"2016-06-13","C",1
"198",21801597,"2016-06-13","A",1
"199",21802865,"2016-06-13","C",1
"200",21803018,"2016-06-13","C",1
"201",21803060,"2016-06-13","A",6
"202",21803604,"2016-06-13","A",1
"203",21804352,"2016-06-13","A",1
"204",21805342,"2016-06-13","C",5
"205",21805506,"2016-06-13","C",4
"206",21806835,"2016-06-13","A",7
"207",21807530,"2016-06-13","C",4
"208",21807884,"2016-06-13","B",6
"209",21811252,"2016-06-14","C",1
"210",21812864,"2016-06-14","C",5
"211",21813581,"2016-06-14","B",1
"212",21816523,"2016-06-14","C",4
"213",21817166,"2016-06-14","C",1
"214",21817695,"2016-06-14","C",2
"215",21818892,"2016-06-14","C",1
"216",21819127,"2016-06-14","C",5
"217",21819157,"2016-06-14","C",5
"218",21824084,"2016-06-15","A",6
"219",21824385,"2016-06-15","C",5
"220",21824954,"2016-06-15","A",1
"221",21826832,"2016-06-15","C",6
"222",21827229,"2016-06-15","A",1
"223",21828605,"2016-06-15","A",5
"224",21828740,"2016-06-15","C",1
"225",21829087,"2016-06-15","A",5
"226",21829244,"2016-06-15","B",1
"227",21829653,"2016-06-15","A",1
"228",21830946,"2016-06-15","A",1
"229",21831326,"2016-06-15","B",6
"230",21833570,"2016-06-15","C",6
"231",21835151,"2016-06-15","B",1
"232",21835246,"2016-06-15","A",5
"233",21835378,"2016-06-15","C",1
"234",21837420,"2016-06-16","C",7
"235",21839212,"2016-06-16","A",1
"236",21839287,"2016-06-16","C",1
"237",21843608,"2016-06-16","C",7
"238",21844162,"2016-06-16","C",2
"239",21844578,"2016-06-16","C",6
"240",21845554,"2016-06-16","C",1
"241",21847565,"2016-06-16","A",5
"242",21848157,"2016-06-16","A",1
"243",21851624,"2016-06-17","C",1
"244",21851761,"2016-06-17","C",1
"245",21854914,"2016-06-17","A",6
"246",21856027,"2016-06-17","C",1
"247",21856978,"2016-06-17","C",2
"248",21857078,"2016-06-17","A",1
"249",21857144,"2016-06-17","A",1
"250",21857789,"2016-06-17","C",6
"251",21858280,"2016-06-17","C",1
"252",21858658,"2016-06-17","A",7
"253",21859639,"2016-06-17","B",7
"254",21859943,"2016-06-18","A",1
"255",21863455,"2016-06-18","C",6
"256",21863466,"2016-06-18","C",6
"257",21863724,"2016-06-18","A",6
"258",21863922,"2016-06-18","C",1
"259",21865096,"2016-06-18","C",1
"260",21865112,"2016-06-18","A",6
"261",21867953,"2016-06-18","C",1
"262",21868781,"2016-06-18","C",4
"263",21869541,"2016-06-18","C",6
"264",21876832,"2016-06-19","B",7
"265",21879184,"2016-06-19","A",1
"266",21879866,"2016-06-19","A",4
"267",21880325,"2016-06-19","B",6
"268",21880660,"2016-06-19","A",1
"269",21880722,"2016-06-19","C",7
"270",21881155,"2016-06-19","A",5
"271",21881667,"2016-06-19","A",5
"272",21884199,"2016-06-19","A",5
"273",21884937,"2016-06-19","C",6
"274",21885388,"2016-06-20","A",5
"275",21886454,"2016-06-20","C",1
"276",21886989,"2016-06-20","A",6
"277",21888794,"2016-06-20","C",6
"278",21890769,"2016-06-20","C",1
"279",21890795,"2016-06-20","C",1
"280",21891226,"2016-06-20","B",6
"281",21891668,"2016-06-20","C",5
"282",21891745,"2016-06-20","C",1
"283",21891855,"2016-06-20","B",1
"284",21891902,"2016-06-20","C",1
"285",21892932,"2016-06-20","C",1
"286",21894442,"2016-06-20","C",4
"287",21894958,"2016-06-20","C",1
"288",21895738,"2016-06-20","C",1
"289",21895836,"2016-06-20","C",1
"290",21896823,"2016-06-20","C",1
"291",21897020,"2016-06-20","A",1
"292",21897616,"2016-06-20","A",1
"293",21897829,"2016-06-20","B",1
"294",21898175,"2016-06-20","C",5
"295",21898205,"2016-06-20","C",5
"296",21898292,"2016-06-20","C",2
"297",21898364,"2016-06-20","A",7
"298",21902341,"2016-06-21","A",5
"299",21902891,"2016-06-21","C",1
"300",21903198,"2016-06-21","C",1
"301",21903823,"2016-06-21","C",1
"302",21904616,"2016-06-21","B",1
"303",21905164,"2016-06-21","B",6
"304",21905212,"2016-06-21","C",1
"305",21906014,"2016-06-21","A",1
"306",21908011,"2016-06-21","C",1
"307",21908499,"2016-06-21","C",1
"308",21908735,"2016-06-21","C",1
"309",21910289,"2016-06-21","A",1
"310",21910597,"2016-06-21","C",5
"311",21910686,"2016-06-21","A",1
"312",21912287,"2016-06-21","A",7
"313",21915015,"2016-06-22","C",1
"314",21915517,"2016-06-22","C",5
"315",21916950,"2016-06-22","C",1
"316",21918138,"2016-06-22","A",6
"317",21919597,"2016-06-22","C",1
"318",21919838,"2016-06-22","C",1
"319",21919842,"2016-06-22","A",2
"320",21920324,"2016-06-22","B",1
"321",21921016,"2016-06-22","B",6
"322",21921481,"2016-06-22","C",6
"323",21922086,"2016-06-22","C",5
"324",21922092,"2016-06-22","A",1
"325",21922259,"2016-06-22","C",1
"326",21922301,"2016-06-22","C",4
"327",21922517,"2016-06-22","C",1
"328",21922666,"2016-06-22","B",7
"329",21922806,"2016-06-22","B",1
"330",21923390,"2016-06-22","B",6
"331",21924199,"2016-06-22","C",1
"332",21924573,"2016-06-22","C",5
"333",21924891,"2016-06-22","B",1
"334",21927757,"2016-06-23","C",7
"335",21928999,"2016-06-23","B",1
"336",21929932,"2016-06-23","A",2
"337",21930158,"2016-06-23","C",1
"338",21930650,"2016-06-23","C",1
"339",21931584,"2016-06-23","C",1
"340",21932916,"2016-06-23","A",1
"341",21933012,"2016-06-23","B",1
"342",21933151,"2016-06-23","A",6
"343",21933287,"2016-06-23","A",5
"344",21933723,"2016-06-23","B",1
"345",21933939,"2016-06-23","C",2
"346",21935360,"2016-06-23","C",1
"347",21935950,"2016-06-23","C",1
"348",21936068,"2016-06-23","C",1
"349",21936159,"2016-06-23","A",7
"350",21936223,"2016-06-23","B",6
"351",21936273,"2016-06-23","C",4
"352",21936980,"2016-06-23","A",1
"353",21939422,"2016-06-24","A",6
"354",21939930,"2016-06-24","C",5
"355",21941417,"2016-06-24","B",7
"356",21941826,"2016-06-24","C",1
"357",21942112,"2016-06-24","C",1
"358",21942196,"2016-06-24","C",1
"359",21942233,"2016-06-24","C",5
"360",21943731,"2016-06-24","C",1
"361",21943801,"2016-06-24","C",5
"362",21944370,"2016-06-24","C",4
"363",21944674,"2016-06-24","B",2
"364",21945670,"2016-06-24","C",6
"365",21946023,"2016-06-24","C",1
"366",21946249,"2016-06-24","B",6
"367",21946606,"2016-06-24","C",1
"368",21947296,"2016-06-24","A",1
"369",21947545,"2016-06-24","B",1
"370",21948352,"2016-06-24","C",5
"371",21951901,"2016-06-25","C",1
"372",21953161,"2016-06-25","C",5
"373",21953443,"2016-06-25","C",1
"374",21953692,"2016-06-25","A",1
"375",21954101,"2016-06-25","C",1
"376",21954115,"2016-06-25","B",1
"377",21956996,"2016-06-25","A",5
"378",21959076,"2016-06-25","C",1
"379",21959240,"2016-06-25","C",1
"380",21959992,"2016-06-25","C",1
"381",21960115,"2016-06-25","C",1
"382",21961310,"2016-06-25","A",7
"383",21965935,"2016-06-26","C",1
"384",21967330,"2016-06-26","C",1
"385",21967573,"2016-06-26","C",7
"386",21968875,"2016-06-26","B",2
"387",21969297,"2016-06-26","A",7
"388",21969534,"2016-06-26","C",5
"389",21970803,"2016-06-26","C",1
"390",21971212,"2016-06-26","C",5
"391",21971231,"2016-06-26","A",4
"392",21973108,"2016-06-26","C",1
"393",21973194,"2016-06-26","A",5
"394",21973893,"2016-06-26","C",1
"395",21974230,"2016-06-26","A",1
"396",21974394,"2016-06-26","C",6
"397",21974444,"2016-06-26","A",6
"398",21974618,"2016-06-26","B",1
"399",21974808,"2016-06-26","C",1
"400",21974841,"2016-06-26","B",1
"401",21976302,"2016-06-26","B",1
"402",21979157,"2016-06-27","C",4
"403",21980906,"2016-06-27","C",5
"404",21981412,"2016-06-27","C",6
"405",21981840,"2016-06-27","C",1
"406",21982007,"2016-06-27","C",1
"407",21982174,"2016-06-27","B",1
"408",21982742,"2016-06-27","A",5
"409",21983449,"2016-06-27","C",1
"410",21983948,"2016-06-27","A",1
"411",21984339,"2016-06-27","B",1
"412",21984793,"2016-06-27","C",6
"413",21985105,"2016-06-27","B",1
"414",21985615,"2016-06-27","C",1
"415",21985955,"2016-06-27","B",1
"416",21986359,"2016-06-27","C",1
"417",21986794,"2016-06-27","C",1
"418",21987799,"2016-06-27","A",1
"419",21988348,"2016-06-27","C",1
"420",21988660,"2016-06-27","C",5
"421",21988850,"2016-06-27","C",1
"422",21989937,"2016-06-27","C",1
"423",21990357,"2016-06-27","C",1
"424",21990549,"2016-06-27","C",1
"425",21991158,"2016-06-27","A",5
"426",21991559,"2016-06-27","C",5
"427",21992065,"2016-06-27","A",2
"428",21992682,"2016-06-27","A",6
"429",21994779,"2016-06-28","A",6
"430",21995476,"2016-06-28","B",6
"431",21996926,"2016-06-28","C",1
"432",21997369,"2016-06-28","C",1
"433",21998018,"2016-06-28","C",1
"434",21998020,"2016-06-28","C",6
"435",21998968,"2016-06-28","C",1
"436",21999408,"2016-06-28","B",6
"437",21999676,"2016-06-28","C",6
"438",22000504,"2016-06-28","B",6
"439",22002006,"2016-06-28","A",1
"440",22002376,"2016-06-28","C",4
"441",22002570,"2016-06-28","C",6
"442",22002799,"2016-06-28","A",1
"443",22002841,"2016-06-28","A",4
"444",22003134,"2016-06-28","B",1
"445",22005282,"2016-06-28","C",7
"446",22005410,"2016-06-28","C",6
"447",22005426,"2016-06-28","A",6
"448",22007107,"2016-06-28","A",5
"449",22009065,"2016-06-29","C",6
"450",22010765,"2016-06-29","C",6
"451",22011646,"2016-06-29","C",1
"452",22012800,"2016-06-29","A",6
"453",22013618,"2016-06-29","C",1
"454",22013874,"2016-06-29","B",1
"455",22016275,"2016-06-29","C",1
"456",22016372,"2016-06-29","C",4
"457",22016797,"2016-06-29","A",1
"458",22019013,"2016-06-29","C",1
"459",22020405,"2016-06-29","C",5
"460",22020423,"2016-06-29","C",1
"461",22020636,"2016-06-29","C",5
"462",22020831,"2016-06-29","A",5
"463",22021336,"2016-06-29","B",1
"464",22024869,"2016-06-30","B",6
"465",22025240,"2016-06-30","C",6
"466",22026035,"2016-06-30","C",1
"467",22027101,"2016-06-30","C",1
"468",22027979,"2016-06-30","C",1
"469",22030249,"2016-06-30","B",1
"470",22030820,"2016-06-30","C",2
"471",22030882,"2016-06-30","C",1
"472",22032165,"2016-06-30","C",5
"473",22032810,"2016-06-30","A",5
"474",22034197,"2016-06-30","C",2
"475",22037782,"2016-07-01","C",6
"476",22039310,"2016-07-01","C",1
"477",22039445,"2016-07-01","C",5
"478",22040021,"2016-07-01","C",5
"479",22040706,"2016-07-01","C",1
"480",22041018,"2016-07-01","B",6
"481",22041793,"2016-07-01","A",1
"482",22043785,"2016-07-01","A",1
"483",22044354,"2016-07-01","B",6
"484",22044773,"2016-07-01","C",1
"485",22045637,"2016-07-01","C",1
"486",22045718,"2016-07-01","C",6
"487",22046158,"2016-07-01","A",5
"488",22046751,"2016-07-01","B",1
"489",22046865,"2016-07-01","A",6
"490",22047466,"2016-07-01","C",5
"491",22053417,"2016-07-02","A",1
"492",22053861,"2016-07-02","C",1
"493",22054094,"2016-07-02","A",4
"494",22054625,"2016-07-02","C",1
"495",22054802,"2016-07-02","A",7
"496",22055559,"2016-07-02","B",1
"497",22055584,"2016-07-02","A",6
"498",22055865,"2016-07-02","C",1
"499",22056680,"2016-07-02","B",6
"500",22057090,"2016-07-02","C",5
"501",22057186,"2016-07-02","C",2
"502",22057734,"2016-07-02","C",2
"503",22058700,"2016-07-02","C",2
"504",22059297,"2016-07-02","C",6
"505",22059693,"2016-07-02","C",6
"506",22059725,"2016-07-02","C",4
"507",22060262,"2016-07-02","B",7
"508",22064580,"2016-07-03","C",4
"509",22065227,"2016-07-03","B",3
"510",22065825,"2016-07-03","A",5
"511",22066243,"2016-07-03","B",1
"512",22066701,"2016-07-03","C",1
"513",22067212,"2016-07-03","C",1
"514",22067475,"2016-07-03","C",4
"515",22068127,"2016-07-03","C",1
"516",22068552,"2016-07-03","C",1
"517",22069791,"2016-07-03","A",1
"518",22069959,"2016-07-03","C",6
"519",22070706,"2016-07-03","C",1
"520",22071289,"2016-07-03","A",1
"521",22072062,"2016-07-03","B",7
"522",22072209,"2016-07-03","C",1
"523",22073462,"2016-07-03","A",5
"524",22076077,"2016-07-04","C",1
"525",22078839,"2016-07-04","C",1
"526",22079244,"2016-07-04","B",1
"527",22080932,"2016-07-04","C",1
"528",22082061,"2016-07-04","C",5
"529",22082154,"2016-07-04","C",7
"530",22082700,"2016-07-04","A",1
"531",22083641,"2016-07-04","A",6
"532",22083836,"2016-07-04","B",1
"533",22084947,"2016-07-04","C",5
"534",22085320,"2016-07-04","C",5
"535",22085356,"2016-07-04","A",4
"536",22086804,"2016-07-04","C",4
"537",22087380,"2016-07-04","C",2
"538",22087855,"2016-07-04","A",7
"539",22088263,"2016-07-04","B",6
"540",22088398,"2016-07-04","C",1
"541",22093942,"2016-07-05","B",6
"542",22094057,"2016-07-05","C",1
"543",22094809,"2016-07-05","C",5
"544",22094821,"2016-07-05","A",6
"545",22095876,"2016-07-05","C",7
"546",22096130,"2016-07-05","C",1
"547",22096357,"2016-07-05","C",5
"548",22096464,"2016-07-05","A",1
"549",22096501,"2016-07-05","C",1
"550",22096753,"2016-07-05","C",1
"551",22097207,"2016-07-05","A",6
"552",22099852,"2016-07-05","A",4
"553",22100206,"2016-07-05","C",5
"554",22100317,"2016-07-05","A",1
"555",22101166,"2016-07-05","C",1
"556",22101695,"2016-07-05","B",6
"557",22101831,"2016-07-05","A",1
"558",22103118,"2016-07-05","A",1
"559",22107340,"2016-07-06","C",5
"560",22109504,"2016-07-06","B",6
"561",22109564,"2016-07-06","C",1
"562",22111982,"2016-07-06","A",1
"563",22112620,"2016-07-06","A",1
"564",22112818,"2016-07-06","B",1
"565",22113211,"2016-07-06","C",1
"566",22113331,"2016-07-06","C",1
"567",22115108,"2016-07-06","A",6
"568",22115476,"2016-07-06","B",1
"569",22115966,"2016-07-06","A",7
"570",22116735,"2016-07-06","C",2
"571",22117352,"2016-07-06","B",6
"572",22118275,"2016-07-06","C",5
"573",22119741,"2016-07-06","A",5
"574",22120014,"2016-07-06","A",6
"575",22123600,"2016-07-07","C",1
"576",22124036,"2016-07-07","C",5
"577",22125074,"2016-07-07","C",1
"578",22125131,"2016-07-07","A",1
"579",22125493,"2016-07-07","B",1
"580",22125695,"2016-07-07","A",1
"581",22125953,"2016-07-07","B",1
"582",22127540,"2016-07-07","C",7
"583",22128411,"2016-07-07","B",1
"584",22128551,"2016-07-07","C",4
"585",22129611,"2016-07-07","A",5
"586",22129869,"2016-07-07","A",1
"587",22130611,"2016-07-07","A",5
"588",22131588,"2016-07-07","C",1
"589",22132561,"2016-07-07","C",5
"590",22132912,"2016-07-07","C",6
"591",22133045,"2016-07-07","B",2
"592",22133774,"2016-07-07","A",1
"593",22133972,"2016-07-07","C",6
"594",22139804,"2016-07-08","C",1
"595",22140528,"2016-07-08","C",1
"596",22140709,"2016-07-08","B",1
"597",22141442,"2016-07-08","A",1
"598",22141946,"2016-07-08","C",5
"599",22142229,"2016-07-08","B",1
"600",22143371,"2016-07-08","C",7
"601",22143751,"2016-07-08","C",6
"602",22143915,"2016-07-08","A",6
"603",22144029,"2016-07-08","A",4
"604",22144069,"2016-07-08","C",5
"605",22144966,"2016-07-08","C",1
"606",22145065,"2016-07-08","A",1
"607",22145648,"2016-07-08","A",1
"608",22146349,"2016-07-08","B",1
"609",22148176,"2016-07-08","C",1
"610",22149501,"2016-07-08","C",1
"611",22152537,"2016-07-09","C",2
"612",22152758,"2016-07-09","C",6
"613",22154458,"2016-07-09","A",6
"614",22154468,"2016-07-09","A",4
"615",22156357,"2016-07-09","A",1
"616",22157866,"2016-07-09","A",1
"617",22158231,"2016-07-09","A",4
"618",22158468,"2016-07-09","B",7
"619",22158837,"2016-07-09","C",1
"620",22159027,"2016-07-09","C",4
"621",22159658,"2016-07-09","B",1
"622",22160798,"2016-07-09","C",1
"623",22161733,"2016-07-09","C",1
"624",22162520,"2016-07-09","C",7
"625",22168038,"2016-07-10","B",7
"626",22169438,"2016-07-10","C",1
"627",22170064,"2016-07-10","A",2
"628",22170423,"2016-07-10","B",1
"629",22171674,"2016-07-10","B",5
"630",22171683,"2016-07-10","C",1
"631",22172342,"2016-07-10","C",1
"632",22172706,"2016-07-10","C",7
"633",22172762,"2016-07-10","C",1
"634",22173138,"2016-07-10","A",4
"635",22174468,"2016-07-10","C",1
"636",22174876,"2016-07-10","C",4
"637",22176007,"2016-07-10","C",6
"638",22176135,"2016-07-10","B",7
"639",22176193,"2016-07-10","A",5
"640",22178595,"2016-07-10","C",5
"641",22178696,"2016-07-10","C",4
"642",22179418,"2016-07-10","C",1
"643",22179641,"2016-07-10","B",2
"644",22181371,"2016-07-10","C",1
"645",22181636,"2016-07-10","C",1
"646",22184298,"2016-07-11","A",1
"647",22184532,"2016-07-11","C",6
"648",22186052,"2016-07-11","B",1
"649",22186529,"2016-07-11","C",1
"650",22187053,"2016-07-11","C",6
"651",22187460,"2016-07-11","A",1
"652",22188374,"2016-07-11","C",1
"653",22189098,"2016-07-11","A",1
"654",22189358,"2016-07-11","C",1
"655",22190999,"2016-07-11","A",1
"656",22191177,"2016-07-11","C",6
"657",22191429,"2016-07-11","C",6
"658",22191657,"2016-07-11","A",6
"659",22191671,"2016-07-11","C",6
"660",22191937,"2016-07-11","B",1
"661",22193525,"2016-07-11","B",1
"662",22193789,"2016-07-11","A",1
"663",22194198,"2016-07-11","C",3
"664",22194512,"2016-07-11","B",1
"665",22195237,"2016-07-11","A",1
"666",22197086,"2016-07-11","C",6
"667",22198609,"2016-07-12","A",1
"668",22200097,"2016-07-12","C",1
"669",22201430,"2016-07-12","C",1
"670",22203471,"2016-07-12","C",1
"671",22206010,"2016-07-12","B",6
"672",22206388,"2016-07-12","A",5
"673",22206680,"2016-07-12","C",5
"674",22206816,"2016-07-12","A",3
"675",22206954,"2016-07-12","C",6
"676",22207659,"2016-07-12","C",1
"677",22207765,"2016-07-12","B",1
"678",22208254,"2016-07-12","C",6
"679",22209909,"2016-07-12","C",4
"680",22210319,"2016-07-12","B",7
"681",22210396,"2016-07-12","C",5
"682",22210984,"2016-07-12","A",6
"683",22211021,"2016-07-12","A",3
"684",22211976,"2016-07-12","C",1
"685",22212163,"2016-07-12","B",1
"686",22213357,"2016-07-13","C",1
"687",22216571,"2016-07-13","A",3
"688",22218599,"2016-07-13","A",5
"689",22219643,"2016-07-13","C",2
"690",22219860,"2016-07-13","C",1
"691",22221724,"2016-07-13","C",1
"692",22221735,"2016-07-13","C",4
"693",22222144,"2016-07-13","C",4
"694",22222548,"2016-07-13","A",1
"695",22223384,"2016-07-13","A",5
"696",22224232,"2016-07-13","A",6
"697",22224320,"2016-07-13","A",5
"698",22225263,"2016-07-13","B",1
"699",22225759,"2016-07-13","C",6
"700",22225825,"2016-07-13","C",2
"701",22225857,"2016-07-13","A",7
"702",22226652,"2016-07-13","C",2
"703",22230220,"2016-07-14","B",1
"704",22231009,"2016-07-14","C",1
"705",22231554,"2016-07-14","C",1
"706",22231884,"2016-07-14","C",4
"707",22231999,"2016-07-14","B",6
"708",22232447,"2016-07-14","C",1
"709",22234727,"2016-07-14","C",1
"710",22236956,"2016-07-14","B",1
"711",22237367,"2016-07-14","C",4
"712",22237396,"2016-07-14","C",1
"713",22237800,"2016-07-14","C",6
"714",22238592,"2016-07-14","A",1
"715",22239007,"2016-07-14","C",1
"716",22239068,"2016-07-14","C",2
"717",22239116,"2016-07-14","C",1
"718",22239531,"2016-07-14","B",1
"719",22239814,"2016-07-14","B",1
"720",22242490,"2016-07-15","B",1
"721",22243620,"2016-07-15","A",1
"722",22245040,"2016-07-15","C",5
"723",22246174,"2016-07-15","C",5
"724",22246455,"2016-07-15","C",1
"725",22248447,"2016-07-15","A",1
"726",22250080,"2016-07-15","C",1
"727",22250747,"2016-07-15","C",1
"728",22252520,"2016-07-15","B",7
"729",22253134,"2016-07-15","B",7
"730",22253203,"2016-07-15","C",4
"731",22253416,"2016-07-15","C",5
"732",22255466,"2016-07-16","A",2
"733",22257330,"2016-07-16","A",1
"734",22258606,"2016-07-16","C",6
